ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIA DEL AHORRO SUCURSAL 
5ª PONIENTE",FARMACIA,"5ª AVENIDA NORTE EQ. 5ª CALLE 
PONIENTE No. 524, COLONIA 
CENTRO, TUXTLA GUTIÉRREZ, 
CHIAPAS",COLONIA CENTRO,29000,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090248,22/05/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: VACUNAS, SUEROS,  TOXOIDES,  ANTITOXINAS DE 
ORIGEN ANIMAL Y/O HEMODERIVADOS"
SIVANA FARMACIA,FARMACIA,"BOULEVARD ANTONIO PARIENTE 
ALGARÍN Nº 106, Nº INTERIOR A1, 
FRACCIONAMIENTO LAS TORRES, 
TUXTLA GUTIÉRREZ, CHIAPAS.","FRACCIONAMIENTO LAS 
TORRES",29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090249,22/05/2018,"ESTUPEFACIENTES FRACCIÓN I, PSICOTRÓPICOS FRACCIÓN II Y III, BIOLÓGICOS TOXOIDES, SUEROS Y 
ANTITOXINAS DE ORIGEN ANIMAL , HEMODERIVADOS Y ANTIBIOTICOS"
"FARMACIA DEL AHORRO SUCURSAL 
BOULEVARD TUXTLA",FARMACIA,"CARRETERA PANAMERICANA KM. 
6.2, S/N, COLONIA SAN JUAN 
BAUTISTA, TUXTLA GUTIÉRREZ, 
CHIAPAS","COLONIA SAN JUAN 
BAUTISTA",29096,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090250,22/05/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: VACUNAS, SUEROS,  TOXOIDES,  ANTITOXINAS DE 
ORIGEN ANIMAL Y/O HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
LAURELES",FARMACIA,"BL. BELISARIO DOMÍNGUEZ No. 
1080, COLONIA LAURELES, TUXTLA 
GUTIÉRREZ, CHIAPAS",COLONIA LAURELES,29020,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090251,22/05/2018,"PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: VACUNAS, SUEROS,  TOXOIDES,  ANTITOXINAS DE 
ORIGEN ANIMAL Y/O HEMODERIVADOS"
"ABASTECEDORA DE INSUMOS PARA 
LA SALUD S.A DE C.V.",FARMACIA,"BOULEVARD SU SANTIDAD JUAN 
PABLO II S/N, COLONIA CASTILLO 
TIELEMANS, TUXTLA GUTIÉRREZ, 
CHIAPAS","COLONIA CASTILLO 
TIELMANS",29070,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090252,25/05/2018,"ESTUPEFACIENTES FRACCIÓN I, PSICOTRÓPICOS: FRACCIONES II Y III. BIOLÓGICOS: VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL Y   ANTITOXINAS DE ORIGEN ANIMAL"
"SOLUCIONES COMERCIALES ABDO, 
S.A. DE C.V.",FARMACIA,"2ª SUR PONIENTE INTERIOR DE LA 
CLÍNICA DE CONSULTA EXTERNA 
MORELOS (ISSTECH), COLONIA LAS 
TERRAZAS.",COLONIA LAS TERRAZAS,29060,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090253,20/07/2018,"PSICOTRÓPICOS: FRACCIONES II Y III.  TOXOIDES,  ANTITOXINAS DE ORIGEN ANIMAL, VACUNAS, 
HEMODERIVADOS, SUEROS DE ORIGEN ANIMAL"
"SOLUCIONES COMERCIALES ABDO, 
S.A. DE C.V.",FARMACIA,"BOULEVARD SS JUAN PABLO II 
INTERIOR DEL HOSPITAL DE 
ESPECIALIDADES MÉDICAS VIDA 
MEJOR (ISSTECH)","FRACCIONAMIENTO LAS 
TORRES",29040,"TUXTLA 
GUTIERREZ",CHIAPAS,07101090254,20/07/2018,"ESTUPEFACIENTES FRACCIÓN I, PSICOTRÓPICOS: FRACCIONES II Y III.  TOXOIDES,  ANTITOXINAS DE 
ORIGEN ANIMAL, VACUNAS, HEMODERIVADOS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA DEL CENTRO DE SALUD 
TUXTLA CHICO",FARMACIA,"CENTRAL HIDALGO PROLONGACION 
S/N,",SAN MIGUEL,,TUXTLA CHICO,CHIAPAS,07102090001,01/10/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUC. TUXTLA CHICO",FARMACIA,"CALLE CENTRAL HIDALGO No.491, 
CENTRO",CENTRO,,TUXTLA CHICO,CHIAPAS,07102090002,23/02/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE S.A. DE C.V.",FARMACIA,AVENIDA JUAREZ No. 44,COL. CENTRO,30870,TUXTLA CHICO,CHIAPAS,07102090003,08/06/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD DE 
TZIMOL",FARMACIA,"AV. CENTRAL S/N, CENTRO",CENTRO,,TZIMOL,CHIAPAS,07104090001,09/12/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.4",FARMACIA,"DOMICILIO CONOCIDO S/N, SANTO 
DOMINGO",,,UNION JUAREZ,CHIAPAS,07105090001,24/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.3",FARMACIA,"DOMICILIO CONOCIDO S/N, EJIDO 
ONCE DE ABRIL",,,UNION JUAREZ,CHIAPAS,07105090002,24/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No. 20",FARMACIA,"CENTRAL HIDROELECTRICA 
BELISARIO DOMINGUEZ S/N",COL. ANGOSTURA,30200,"VENUSTIANO 
CARRANZA",CHIAPAS,07105090003,21/12/2016,"I, II, III, VACUNAS, TOXOIDES, SUEROS, Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.14",FARMACIA,"ENTRADA PRINCIPAL AL INGENIO 
PUJILTIC S/N, CENTRO",CENTRO,,"VENUSTIANO 
CARRANZA",CHIAPAS,07106090002,23/07/2003,"I, II, III, VACUNAS, TOXOIDES Y SUEROS DE ORIGEN ANIMAL"
"FARMACIA HOSP.RURAL 
OPORTUNIDADES No.5 VENUSTIANO 
CARRANZA",FARMACIA,"CARRETERA TUXTLA - COMITAN 
KM.90.5, SAN FRANCISCO",SAN FRANCISCO,30200,"VENUSTIANO 
CARRANZA",CHIAPAS,07106090001,26/09/2012,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"HOSPITAL RURAL IMSS 
OPORTUNIDADES",FARMACIA,"CARRETERA TUXTLA - COMITAN 
KM.90.5,",SAN FRANCISCO,,"VENUSTIANO 
CARRANZA",CHIAPAS,07106090003,14/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL AHORRO SUCURSAL 
CARRANZA",FARMACIA,AVENIDA CENTRAL No. 1,COL. CENTRO,30200,"VENUSTIANO 
CARRANZA",CHIAPAS,07106090005,19/12/2016,"II, III, VACUNAS, SUEROS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"CENTRAL SUR S/N,",SAN PEDRO BUENA VISTA,,VILLACORZO,CHIAPAS,07107090001,02/06/2009,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"SUPER FARMACIAS ESQUIVAR S.A. DE 
C.V.",FARMACIA,"CALLE CENTRAL No.2, CENTRO",COL. CENTRO,30520,VILLACORZO,CHIAPAS,07107090003,12/08/2009,"II, III"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO REVOLUCION",FARMACIA,"INT. DEL HOSP. B. COMUNITARIO 
REVOLUCION, 5A. PONIENTE SALIDA 
CARRETERA A JALTENANGO S/N; 
REVOLUCION MEXICANA",DOMICILIO CONOCIDO,30529,VILLACORZO,CHIAPAS,07107090005,03/03/2014,"I, II, III, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS ESQUIVAR S.A. DE C.V.,FARMACIA,"1RA AV. SUR OTE S/N, COL. CENTRO",COL. CENTRO,30525,VILLA CORZO,CHIAPAS,07107090006,05/05/2014,"I, II, III,"
"FARMACIA ALOPATICA SANTA 
CECILIA",FARMACIA,"1A. ORIENTE SUR No. 6, COL. 
REVOLUCION MEXICANA","COL. REVOLUCION 
MEXICANA",30529,VILLACORZO,CHIAPAS,07107090008,12/03/2015,"II, III,"
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE S.A. DE C.V.",FARMACIA,AVENIDA 1A. ORIENTE S/N,COL. CENTRO,30520,VILLACORZO,CHIAPAS,07107090010,08/06/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL BASICO 
COMUNITARIO REVOLUCION 
MEXICANA",FARMACIA,"5A. PONIENTE S/N, COL . CENTRO, 
REVOLUCION MEXICANA","CENTRO, REVOLUCION 
MEXICANA",30533,VILLACORZO,CHIAPAS,07107090011,30/11/2017,"I, II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.34",FARMACIA,"1a. CALLE PONIENTE Y 4a. NORTE 
S/N",COL. CENTRO,30475,VILLAFLORES,CHIAPAS,07108090001,27/10/2008,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA 
COORDINACION MEDICA 
VILLAFLORES ISSTECH",FARMACIA,3a. SUR Y 1a. ORIENTE ESQ.,,30475,VILLAFLORES,CHIAPAS,07108090002,29/07/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"UNIDAD MEDICA FAMILIAR 
VILLAFLORES",FARMACIA,"AV. LOS LAURELES S/N, CENTRO",CENTRO,30475,VILLAFLORES,CHIAPAS,07108090003,29/07/2003,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR  S. A. DE C. V. 
SUCURSAL VILLAFLORES MATRIZ",FARMACIA,"AV. CENTRAL PONIENTE No.15, 
CENTRO",CENTRO,30470,VILLAFLORES,CHIAPAS,07108090004,09/02/2012,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL MERCADO",FARMACIA,AV. CENTRAL PONIENTE No.69,CENTRO,30470,VILLAFLORES,CHIAPAS,07108090005,21/10/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL HOSPITAL",FARMACIA,4a. SUR PONIENTE No.237,CENTRO,30470,VILLAFLORES,CHIAPAS,07108090006,15/04/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA CANCINO,FARMACIA,"CENTRAL NORTE No.12, CENTRO",CENTRO,,VILLAFLORES,CHIAPAS,07108090008,23/11/2006,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA ALOPATICA DEL HOSPITAL 
DE VILLAFLORES",FARMACIA,"4a. SUR Y 14a. PONIENTE S/N,",BARRIO ALMACENES,,VILLAFLORES,CHIAPAS,07108090010,,"I, II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
"FARMACIA DE LA COORDINACION 
MEDICA VILLAFLORES ISSTECH",FARMACIA,"ENTRADA AL FRACC. LAS GARDENIAS 
No.19,",LAS GARDENIAS,,VILLAFLORES,CHIAPAS,07108090011,02/12/2008,"II, III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
FARMACIA ALOPATICA FONSECA,FARMACIA,1a. AV. SUR ESQUINA 2a. PONIENTE,,,VILLAFLORES,CHIAPAS,07108090013,30/03/2000,"II, III"
"FARMACIA DISUR DE LA 
COORDINACION MEDICA 
VILLAFLORES",FARMACIA,"LAS GARDENIAS No. 19,","FRACCIONAMIENTO LAS 
GARDENIAS",30470,VILLAFLORES,CHIAPAS,07108090017,04/08/2015,"I, II, III, TOXOIDES, VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DEL AHORRO   SUCURSAL 
CENTRO",FARMACIA,"2A. CALLE PONIENTE ESQUINA AV. 
CENTRAL, No. 35",COL. CENTRO,30470,VILLAFLORES,CHIAPAS,07108090019,15/12/2015,II Y III
"FARMACIA DEL AHORRO SUCURSAL 
14 PONIENTE",FARMACIA,CALLE 14 PONIENTE No. 235,COL. CENTRO,30470,VILLAFLORES,CHIAPAS,07108090021,29/08/2016,II Y III
"GRUPO FARMACEUTICO SALINAS DEL 
SURESTE S.A. DE C.V.",FARMACIA,CALLE 1A. PONIENTE No. 15,COL. CENTRO,30470,VILLAFLORES,CHIAPAS,07108090023,08/06/2017,"II, III, TOXOIDES, VACUNAS, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA BODEGA AURRERA PLAZA 
LAS FLORES",FARMACIA,6A. AVENIDA SUR No. 50,COL. ALMACENES,30479,VILLAFLOREZ,CHIAPAS,07108090024,31/08/2017,"II, III, SUEROS DE ORIGEN ANIMAL, VACUNAS, TOXOIDES, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"FARMACIA DEL HOSPITAL GENERAL 
BICENTENARIO DE VILALFLORES",FARMACIA,"CARRETERA TUXTLA GUTIERREZ-
VILLAFLORES, KM. 03 S/N, RANCHO 
BELLAVISTA",RANCHO BELLAVISTA,30475,VILLAFLOREZ,CHIAPAS,07108090025,22/11/2017,"I, II, III, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL GENERAL 
DE YAJALON",FARMACIA,"CALZADA JUANA HERNANDEZ ZARCO 
S/N, CENTRO",CENTRO,,YAJALON,CHIAPAS,07109090002,22/01/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR YAJALON 
MODULO RESOLUTIVO I",FARMACIA,"1a. SUR ORIENTE No.14, CENTRO",CENTRO,,YAJALON,CHIAPAS,07109090003,18/03/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA ALOPATICA ISSTECH,FARMACIA,"CARRETERA YAJALON-CHILON KM.2,",BARRIO LA GASOLINERA,,YAJALON,CHIAPAS,07109090004,15/04/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"UNIDAD MEDICA FAMILIAR YAJALON 
MODULO RESOLUTIVO I",FARMACIA,"1a. SUR ORIENTE No.14, CENTRO",CENTRO,,YAJALON,CHIAPAS,07109090005,19/07/2004,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A DE C.V. 
SUC. CATEDRAL YAJALON",FARMACIA,"AV. CENTRAL PONIENTE S/N, 
CENTRO",CENTRO,,YAJALON,CHIAPAS,07109090006,06/03/2006,"I, II, III"
FARMACIA ALOPATICA YAJALON,FARMACIA,AV. CENTRAL PONIENTE SUR No.40,,29930,YAJALON,CHIAPAS,07109090009,18/11/2011,"II, III"
FARMACIAS DEL AHORRO,FARMACIA,AV. CENTRAL No.1,COL. CENTRO,29930,YAJALON,CHIAPAS,07109090010,28/06/2012,"II, III, VACUNA Y TOXOIDES"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HG YAJALON",FARMACIA,"INT. DEL HG YAJALON, CALZD. 
JUANA HERNANDEZ ZARCO S/N",CENTRO,29930,YAJALON,CHIAPAS,07109090012,08/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA YZA YAJALON CENTRO 
SUR",FARMACIA,"AVENIDA 1RA. AV. SUR PONIENTE 
S/N, COL. CENTRO",CENTRO,29930,YAJALON,CHIAPAS,07109090019,27/11/2017,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DE LA SUBCOORDINACIÓN 
MÉDICA ISSTECH DE YAJALÓN",FARMACIA,"CARRETERA YAJALÓN - CHILÓN KM 2 
S/N, BARRIO LA GASOLINERA",BARRIO LA GASOLINERA,29930,YAJALON,CHIAPAS,07109090020,14/08/2018,"ESTUPEFACIENETES FRACCIÓN I, PSICOTRÓPICOS FRACCIÓN II, III,"
"FARMACIAS SAVI DISTRIBUCIONES 
S.A. DE C.V.",FARMACIA,"JUAN PABLO SEGUNDO S/N INT. 
CESSA, COL. SAN SEBASTIAN",COL. SAN SEBASTIAN,29350,ZINACANTAN,CHIAPAS,07111090003,13/03/2015,"I, II, III, VACUNAS, HEMODERIVADOS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL"
"HOSPITAL RURAL S BENEMERITO DE 
LAS AMERICAS",FARMACIA,DOMICILIO CONOCIDO S/N,DOMICILIO CONOCIDO,29950,"BENEMERITO DE 
LAS AMERICAS",CHIAPAS,07114090001,09/01/2002,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
FARMACIA MARIA DE LOURDES,FARMACIA,"BOULEVARD DE LAS AMERICAS S/N, 
CENTRO",CENTRO,,"BENEMERITO DE 
LAS AMERICAS",CHIAPAS,07114090002,13/05/2005,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HBC SANTO DOMINGO",FARMACIA,"INT. DEL HBC SANTO DOMINGO, 
SALIDA DEL PUEBLO SANTO 
DOMINGO",SANTO DOMINGO,29950,"BENEMERITO DE 
LAS AMERICAS",CHIAPAS,07114090004,27/09/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
