ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
Zamora,Farmacia,Av. Morelos Poniente # 241,Centro,60600,Apatzingán,Michoacán,16 006 09 0011,04/09/2000,"Ps., V., T., S."
La Fe,Farmacia,Av. Constitución Norte # 92,Centro,60600,Apatzingán,Michoacán,16 006 09 0012,04/09/2000,"Ps., V., T., S."
San Ildefonso,Farmacia,Av. Constitución De 1814 # 57 - A,Centro,60600,Apatzingán,Michoacán,16 006 09 0013,04/09/2000,"Ps., V,. T., S."
Comercial Medico Científico,Farmacia,Matías Romero # 14,Buenos Aires,60610,Apatzingán,Michoacán,16 006 09 0014,04/09/2000,"Ps., V., T., S."
San Rafael,Farmacia,Cayetano Andrade Poniente # 21,Centro,60600,Apatzingán,Michoacán,16 006 09 0016,04/09/2000,"V., T., S."
Mexicana,Farmacia,Samuel Castañón # 90 - A,Centro,60600,Apatzingán,Michoacán,16 006 09 0017,04/09/2000,"Ps., V., T., S."
San Marcos,Farmacia,Prolongación Esteban Vaca Calderón # 625,Varillero,60660,Apatzingán,Michoacán,16 006 09 0018,28/09/2000,"Ps., V., T., S."
Cisneros,Farmacia,Portal José Ma. Coss # 12,Centro,60600,Apatzingán,Michoacán,16 006 09 0019,28/09/2000,"V., T., S."
F. Lux,Farmacia,Av. Constitución De 1814 # 10-B,Centro,60600,Apatzingán,Michoacán,16 006 09 0020,03/11/2004,"Ps., V., T., S., A."
Lieser,Botica,Dr. José Ma. Coss # 395,Centro,60600,Apatzingán,Michoacán,16 006 10 0021,04/10/2000,"Ps., V., T., S."
Monumental,Botica,Av. Morelos Poniente # 17,Centro,60600,Apatzingán,Michoacán,16 006 10 0022,04/10/2000,"V., T., S."
Clínica Hospital Issste,Farmacia,"Av. Francisco I. Madero Esq. Matías Romero 
S/N",Buenos Aires,60610,Apatzingán,Michoacán,16 006 09 0023,04/12/2000,"E., Ps., V., T., S., H."
Roma,Botica,Av. Constitución De 1814 # 36 - B,Centro,60600,Apatzingán,Michoacán,16 006 10 0025,30/11/2000,"V., T., S."
Súper Farmacias Mexicana Suc. Apatz.,Farmacia,Av. Constitución # 47 - A,Centro,60600,Apatzingán,Michoacán,16 006 09 0026,19/03/2002,"Ps., V., T., S., A., H."
Instituto Mexicano Del Seguro Social,Botica,Av. Corregidora Esq. 22 De Octubre,Miguel Hidalgo,60670,Apatzingán,Michoacán,16 006 10 0027,30/01/2007,"E., Ps., V., T., S., H."
Sagrado Corazón,Farmacia,Heriberto Jara Oriente # 93,Centro,60600,Apatzingán,Michoacán,16 006 09 0028,02/07/2008,"Ps., V., T., S., A., H."
"Botica Hosp. Gral. ""Ramón Ponce Álvarez""",Botica,Av. Constitución De 1814 # 122 Norte,Centro,60600,Apatzingán,Michoacán,16 006 10 0029,02/09/2003,"E., Ps., V., T., S., .A,. H."
"Distribuidora Med. Qx Sinamich S.A De 
C.V.",Farmacia,Av. Constitución De 1814 Norte # 594,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0030,11/12/2003,"Ps., V., T., S., A., H."
F. Corazón De Jesús,Farmacia,Av. Constitución De 1814 Sur # 79 - C,Centro,60600,Apatzingán,Michoacán,16 006 09 0032,06/04/2004,"E., Ps., V., T., S., A., H."
Botica La Luz,Botica,Av. Constitución De 1814 Norte # 148 - A,Centro,60630,Apatzingán,Michoacán,16 006 09 0033,21/06/2004,"Ps., V., T., S., A."
Karla,Farmacia,Plan De Guadalupe # 75,Bonifacio Moreno,60600,Apatzingán,Michoacán,16 006 09 0034,21/07/2004,"Ps., V., T., S."
F. Del Mercado,Farmacia,Cayetano Andrade # 566 Ote.,Palmira,60680,Apatzingán,Michoacán,16 006 09 0035,08/09/2004,"Ps., V., T., S., A."
F. Universal,Farmacia,Av. Constitución Norte # 108,Centro,60600,Apatzingán,Michoacán,16 006 09 0036,07/09/2004,"Ps., V., T., S., A., H."
B. De La Enfermería Militar,Botica,Av. Tepalcatepec S/N,Buenos Aires,60610,Apatzingán,Michoacán,16 006 10 0037,09/09/2004,"E., Ps., V., T., S., A., H."
F. Dr. Nicolás Vaca Espindola,Farmacia,Av. Constitución De 1814 Nte. # 144 - A,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0038,03/11/2004,"Ps., T., S., A., H."
F. Nueva,Farmacia,Av. Constitución 1814 # 126,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0039,24/11/2004,"Ps., V., T., S., A."
Súper Farmacia El Diagnostico,Farmacia,Nicolás Regules # 252,Penjamo,60619,Apatzingán,Michoacán,16 006 09 0040,03/12/2004,"Ps., V., T., S., A."
F. Súper 8,Farmacia,Av. 22 De Octubre # 68,Nueva,60678,Apatzingán,Michoacán,16 006 09 0042,03/06/2005,"Ps., V., T., S., A."
F. Súper 8,Farmacia,Av. Constitución De 1814 Norte # 126,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0043,03/06/2005,"Ps., V., T., S, A."
F. Blanco,Farmacia,Filiberto Bonilla # 189,Centro,60710,Apatzingán,Michoacán,16 006 09 0044,27/06/2005,"Ps., V., T., S., A."
Farmacia Ayala,Farmacia,Esteban Vaca Calderón # 43 - A,Centro,60600,Apatzingán,Michoacán,16 006 09 0045,13/12/2005,"Ps., V., T, S., A."
Farmapronto,Farmacia,Av. Constitución De 1814 # 580,Centro,60600,Apatzingán,Michoacán,16 006 09 0048,22/08/2006,"Ps., V., T., S., A., H."
Farmacia Universal II,Farmacia,Lic. Cornelio Ortiz De Zárate # 271,Centro,60600,Apatzingán,Michoacán,16 006 09 0049,04/05/2007,"Ps., V."
Farmacia San Juan,Farmacia,Av. Constitución # 580,Centro,60600,Apatzingán,Michoacán,16 006 09 0050,22/02/2008,"Ps., V., T., S., A., H."
Farmacia Súper 8,Farmacia,Av. 22 De Octubre,La Florida,60698,Apatzingán,Michoacán,16 006 09 0051,04/03/2008,"E., Ps., V., T."
Farmacia Súper 8,Farmacia,Samuel Castañón # 90,Centro,60600,Apatzingán,Michoacán,16 006 09 0052,04/03/2008,"E., Ps., V., T."
F. Universal,Farmacia,Av. Constitución De 1817 # 237,Lomas de Palmira,60683,Apatzingán,Michoacán,16 006 09 0053,02/07/2008,Ps.
Farmacias El Dr. Maxx,Farmacia,Constitución De 1814 S/N,Centro,60600,Apatzingán,Michoacán,16 006 09 0054,20/03/2018,Ps.
Farmacia Bodega Aurrera Fco. I. Madero,Farmacia,Av. Francisco I. Madero # 733,18 de Marzo,60620,Apatzingán,Michoacán,16 006 09 0055,18/02/2009,"E., Ps., V., T., S., A., H."
Farmacia San Pablo,Farmacia,Av. Constitución De 1814 # 114,Centro,60600,Apatzingán,Michoacán,16 006 09 0056,05/10/2009,Ps.
Farmacia Súper 8,Farmacia,Constitución De 1917 # 315,Palmira,60680,Apatzingán,Michoacán,16 006 09 0057,05/10/2009,"E., Ps., V., T."
Farmacia Teo,Farmacia,Cornelio Ortiz De Zárate # 67,Centro,60600,Apatzingán,Michoacán,16 006 09 0058,08/10/2009,Ps.
Farmacia Universal IIS,Farmacia,Matías Romero # 144,Buenos Aires,60610,Apatzingán,Michoacán,16 006 09 0059,08/10/2009,"Ps., V., T., S., .A, H."
Farmacia De Los Ángeles,Farmacia,Av. Lázaro Cárdenas S/N,Centro,60710,Apatzingán,Michoacán,16 006 09 0060,17/12/2009,"E., Ps., V."
"H. Militar de Zona de Apatzingan, Mich.",Botica,Av. Tepalcatepec S/N,Centro,60610,Apatzingán,Michoacán,16 006 09 0061,24/07/2013,"E.,  Ps., V., T., S., A."
De Los Ángeles,Farmacia,Av. Lázaro Cárdenas S/N,Centro,60710,Apatzingán,Michoacán,16 006 09 0062,02/03/2010,"Ps., V., T., S., A."
Farmacia De Genéricos,Farmacia,Temoc García Rubio # 2,"Las Colonias Cenobio 
M.",60710,Apatzingán,Michoacán,16 006 09 0063,12/04/2010,"E., Ps., V., T."
100% FARMA,Farmacia,Av. Constitución de 1814 #77,Centro,60600,Apatzingán,Michoacán,16 006 09 0064,23/02/2016,Ps.
Farmacia MV,Farmacia,Av. General Joaquin Amaro No. 425-A,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0065,14/11/2012,"Ps., V., T., A."
Farmacias Farmax,Farmacia,Matías Romero # 14,Buenos Aires,60610,Apatzingán,Michoacán,16 006 09 0066,08/12/2011,"E., Ps., V."
"Grupo Farmaceutico Michoacano S.A. DE 
C.V.",Farmacia,Av. Constitución de 1814 # 109,Lázaro Cárdenas,60600,Apatzingán,Michoacán,16 006 09 0067,24/05/2016,Ps.
Farmacia Apatzingán,Farmacia,Av. Morelos No. 57-A,Centro,60600,Apatzingán,Michoacán,16 006 09 0068,02/08/2012,"Ps., V., T., A., S"
"NADRO, S.A. de C.V.  Hosp. General 
Apat. Ramón Ponce",Botica,Constitución de 1814 Norte No. 122,Centro,60600,Apatzingán,Michoacán,16 006 10 0069,20/02/2013,"E., Ps."
Farmacia Universal,Farmacia,Constitución de 1814 Norte No. 112,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0071,18/12/2014,"Ps., V., T., A."
Farmacia MV Sucursal Centro,Farmacia,Av. Constitución de 1814 # 108-A,Centro,60600,Apatzingán,Michoacán,16 006 09 0072,11/03/2015,"E., Ps., V., T. A"
Farmacia MV Sucursal Mercado Gde,Farmacia,Av. Cayetano Andrade Pte. # 180,Centro,60600,Apatzingán,Michoacán,16 006 09 0073,11/03/2015,"E., Ps., V., T. A"
Farmacia Disur Hosp. Gral. Apatzingan,Farmacia,Constitución de 1814 Norte No. 122,Centro,60600,Apatzingán,Michoacán,16 006 09 0074,19/05/2015,"E., Ps., V., T., S., A., H."
Farmacia La Salud,Farmacia,Temoc García Rubio # 2,"Las Colonias Cenobio 
M.",,Apatzingán,Michoacán,16 006 09 0075,19/05/2015,"Ps,"
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,Cerrada de Arcos de la Revolución No. 200,s/colonia,60685,Apatzingán,Michoacán,16 006 09 0076,23/09/2016,"E.,Ps.,V.,T.,S.,A.,H."
DISUR Hospital Regional de Apatzingan,Farmacia,Cerrada de Arcos de la Revolución No. 300,El Cafetal,60685,Apatzingán,Michoacán,16 006 09 0078,29/03/2017,"E.,Ps.,V.,T.,S.,A.,H."
MV Suc. Constitución,Farmacia,Av. Constitución 1814 Norte No. 109,Lázaro Cárdenas,60630,Apatzingán,Michoacán,16 006 09 0079,14/06/2017,"E.,Ps."
Farmacias MV Suc. Cayetano,Farmacia,Cayetano Andrade Poniente No. 16 C,Centro,60600,Apatzingán,Michoacán,16 006 09 0080,21/07/2017,Ps.
"Farmacias El Fenix del Centro Hospital 
Regional de Apatzingán",Farmacia,Cerrada Arcos de la Revolución No. 300,El Cafetal,60685,Apatzingán,Michoacán,16 006 09 0081,01/02/2018,"E.,Ps.,V.,T.,A.,S.,H."
"F. MEDALFA Hospital Regional de 
Apatzingan",Farmacia,Cerrada Arcos de la Revolución No. 300,El Cafetal,60680,Apatzingán,Michoacán,16 006 09 0082,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
"Farmacia Universal Suc. Avenida 
Constitución",Farmacia,Av. Constitución de 1814 Sur No. 57-C,Centro,60600,Apatzingán,Michoacán,16 006 09 0083,02/10/2018,Ps.
"Super Farmacia Universal Suc. Buenos 
Aires",Farmacia,Av. Francisco y Madero Oriente No. 405,Centro,60610,Apatzingán,Michoacán,16 006 09 0084,02/10/2018,Ps.
Super Farmacia Universal Suc. Palillera,Farmacia,Av. Lázaro Cárdenas No. 1267,Priista,60693,Apatzingán,Michoacán,16 006 09 0085,02/10/2018,Ps.
Farmacia Guadaljara S.A. DE C.V.,Farmacia,Av. 5 de Mayo No. 911,Morelos,60640,Apatzingán,Michoacán,16 006 09 0086,09/11/2018,Ps.
Super Farmacia Santa Ana,Farmacia,Av. Lázaro Cádenas No. 60,Catalinas,60531,Apatzingán,Michoacán,16 006 09 0087,09/11/2018,Ps.
Centro Penitenciario Apantzingán,Farmacia,Independencia Poniente No. 441,Ejido los Arquitos,60630,Apatzingán,Michoacán,16 006 09 0088,28/01/2019,Ps.
Avenida,Farmacia,Av. 20 De Noviembre # 16,Centro,60500,Buenavista,Michoacán,16 012 09 0001,16/01/2003,"Ps., V., T., S."
Farmacia Roma,Farmacia,Francisco I. Madero # 30,Centro,60500,Buenavista,Michoacán,16 012 09 0002,22/08/2007,"E., Ps., V., T."
F. San Martin,Farmacia,Epitacio Huerta # 16,Centro,60500,Buenavista,Michoacán,16 012 09 0004,06/07/2004,"Ps., V., T., S., A."
F. La Salud,Farmacia,Conocido,Sin Colonia,60530,Buenavista,Michoacán,16 012 09 0005,03/06/2005,"Ps., V., T., S., A."
La Salud,Farmacia,Fco. I. Madero # 182,Centro,60521,Buenavista,Michoacán,16 012 09 0006,14/04/2005,"Ps., V., T., S., A."
F. San Judas Tadeo,Farmacia,Lázaro Cárdenas S/N,Sin Colonia,60521,Buenavista,Michoacán,16 012 09 0007,02/09/2005,"Ps., V., T., S., A."
Súper Farmacia Star Medical,Farmacia,Av. 20 De Noviembre # 396 - A,Centro,60500,Buenavista,Michoacán,16 012 09 0008,28/10/2008,"E., Ps., V., T., S., A."
F. Juan Pablo II,Farmacia,Av. Lázaro Cárdenas # 140,Centro,60521,Buenavista,Michoacán,16 012 09 0009,05/10/2009,"E., Ps., V., T."
Noemi,Farmacia,Francisco I. Madero # 56,Centro,60521,Buenavista,Michoacán,16 012 09 0010,18/02/2009,"E., Ps."
"Farmacia ""Mali""",Farmacia,Av. 20 de Noviembre No. 52-B,Centro,60500,Buenavista,Michoacán,16 012 09 0012,20/07/2012,"E., Ps., V."
"Hospital Rural IMSS, Prospera Buena 
Vista",Farmacia,Av. Morelos Norte No. 2501,Martires de uruapan,60500,Buenavista,Michoacán,16 012 09 0013,15/05/2018,"E.,Ps.,V.,T.,S.,A.,H."
Farmacia San Martin,Farmacia,Epitacio Huerta # 16,Centro,60500,Buenavista,Michoacán,16 012 09 0014,14/10/2016,"Ps., V., T., A."
Farmacia San Martín 2,Farmacia,Av. 20 de Noviembre No. 36,Centro,60500,Buenavista,Michoacán,16 012 09 0017,01/10/2016,Ps.
Farmacia San Carlos,Farmacia,Av. Lázaro Cárdenas # 78,Centro,60500,Buenavista,Michoacán,16 012 09 0015,10/03/2015,"Ps., V., T., A."
Farmacia San Judas tadeo,Farmacia,Francisco J. Mujica No. 489-A,Centro,60521,Buenavista,Michoacán,16 012 09 0016,22709/2016,Ps.
Farmacia San Martín 3,Farmacia,Lázaro Cárdenas No. 188,Centro,60500,Buenavista,Michoacán,16 012 09 0018,19/05/2017,Ps.
Farmacia Rivera,Farmacia,Av. Morelos No. 31,Centro,60500,Buenavista,Michoacán,16 012 09 0020,31/01/2018,Ps.
"Farmacia CEFERESO No. 17 ""CPS-
MICHOACÁN""",Farmacia,Carr. Ruana-Tazumbos KM 2 S/N,Centro,60500,Buenavista,Michoacán,16 012 09 0021,20/01/2018,"E.,Ps.,V.,T.,S.,A.,H."
Nueva,Farmacia,Obregón Esq. Bravo,Centro,60841,Coalcomán,Michoacán,16 015 09 0001,09/12/2002,"Ps., V., T., S."
F. San Isidro,Farmacia,Madro # 99,Centro,60840,Coalcomán,Michoacán,16 015 09 0002,21/07/2004,"Ps., V., T., S."
F. Alva,Farmacia,Francisco J. Mujica # 98 - A,Centro,60840,Coalcomán,Michoacán,16 015 09 0003,21/07/2004,"Ps., V., T., S."
B. Imss-Hospital Rural No. 46,Botica,Fco. J. Mújica Esq. Dr. Miguel Silva,Centro,60840,Coalcomán,Michoacán,16 015 10 0004,09/09/2004,"Ps., V., T., S., A., H."
F. Pasteur,Farmacia,Guerrero # 8,Centro,60840,Coalcomán,Michoacán,16 015 09 0005,10/11/2004,"Ps., V., T., S."
Farmacia Los Ángeles,Farmacia,Morelos # 7,Centro,60840,Coalcomán,Michoacán,16 015 09 0006,15/05/2006,"Ps., V., T., S., A."
Farmacia San Vicente,Farmacia,Torres Manzo # 3,Centro,60840,Coalcomán,Michoacán,16 015 09 0007,18/07/2006,"Ps., V., T., A., H."
Farmacia San José,Farmacia,Zaragoza Sur # 372,Centro,60840,Coalcomán,Michoacán,16 015 09 0007,12/02/2014,"Ps., V., T., A."
Farmacia San Diego,Farmacia,Mercado Municipal,Centro,61880,Churumucho,Michoacán,16 029 09 0001,28/05/2007,"PS., V., T.,"
I.M.S.S.,Botica,Veracruz s/n,Centro,60840,Churumucho,Michoacán,16 029 10 0002,23/07/2013,"Ps., V., T., A."
Super Farmacia Leo,Farmacia,Infiernillo No. 27,Centro,61880,Churumucho,Michoacán,16 029 09 0003,31/01/2018,Ps.
Farmacia Juárez,Farmacia,Av. Juárez y Revolución S/N,Centro,61853,La Huacana,Michoacán,16 035 09 0001,10/04/2007,"Ps., V., T., S., A., H."
Botica Unidad De Medicina Familiar 46,Botica,Av. Revolución Sur # 238,Centro,61850,La Huacana,Michoacán,16 035 10 0002,09/02/2005,"Ps., V., T., S., A."
F. Sagrado Corazón,Farmacia,De La Juventud S/N,Centro,61850,La Huacana,Michoacán,16 035 09 0003,22/09/2016,Ps.
F. Cruz Blanca,Farmacia,Madero Norte S/N,Centro,61850,La Huacana,Michoacán,16 035 09 0004,03/06/2005,"Ps., V., T., S., A., H."
F. Lupita,Farmacia,Abasolo Ote. # 139,Centro,61850,La Huacana,Michoacán,16 035 09 0005,02/09/2005,"Ps., V., T., S., A."
Farmacia Sagrado Corazón II,Farmacia,Av. Revolución # 147 - A,Centro,61853,La Huacana,Michoacán,16 035 09 0006,15/12/2006,"Ps., V., T., S., A."
Farmacia Fátima,Farmacia,Guerrero Norte # 152,Centro,61853,La Huacana,Michoacán,16 035 09 0007,05/05/2010,"Ps., V., T."
Farmacia Luz Blanca,Farmacia,Madero  norte #176 col. Centro,Centro,61853,La Huacana,Michoacán,16 035 09 0013,05/06/2010,"Ps. V., T., S."
Farmacia San Carlos,Farmacia,Portal Morelos Esq. Zaragoza,Centro,61850,La Huacana,Michoacán,16 035 09 0008,02/02/2007,"Ps., V., T., S."
Súper Farmacia Z,Farmacia,Calle Principal S/N,Sin Colonia,61860,La Huacana,Michoacán,16 035 09 0009,11/05/2007,"Ps., V., T., S., A."
Farmacia Guadalupana,Farmacia,Domicilio Conocido Sin Numero,Lázaro Cárdenas,61853,La Huacana,Michoacán,16 035 09 0010,15/11/2007,"Ps., V., T., S., A."
San Pedro,Farmacia,Hidalgo # 271,Centro,61830,La Huacana,Michoacán,16 035 09 0011,14/10/2008,"E., Ps., V."
Sagrado Corazón III,Farmacia,Revolución Sur S/N,Lázaro Cárdenas,61853,La Huacana,Michoacán,16 035 09 0012,12/03/2010,"E., Ps., V.,T."
Farmacia Zicuirán,Farmacia,Lázaro Cárdenas S/N,Centro,61860,La Huacana,Michoacán,16 035 09 0014,14/02/2013,"Ps., V., T., A."
"NADRO, S.A. de C.V.  Hosp. Int. La 
Huacana",Botica,Av. Juarez Oriente No. 270,Centro,61853,La Huacana,Michoacán,16 035 10 0015,26/02/2013,"E., Ps."
F. de la Unidad Médico familiar 160308,Botica,Corregidora No. 71,Centro,61853,La Huacana,Michoacán,16 035 10 0016,22/07/2013,"Ps., V., T., A."
Super Farmacia Zicuirán,Farmacia,Av. Lázaro Cárdenas S/N,Centro,61860,La Huacana,Michoacán,16 035 09 0018,21/04/2015,"Ps., V., T., S., A."
"F. Disur del Hospital Integral Comunitario 
de la Huacana",Farmacia,Carretera Cuatro Caminos KM 1.5 Interior A,Centro,61850,La Huacana,Michoacán,16 035 09 0019,27/08/2015,"E., Ps., V., T., S., A., H."
Farmacia TT,Farmacia,Av. Revolución No. 147-A,Centro,61853,La Huacana,Michoacán,16 035 09 0020,11/11/2015,Ps.
"Farmacias El Fenix del Centro S.A. de 
C.V.",Farmacia,"Av. Revolución Sur carretera a cuatro caminos 
KM 1.5",s/colonia,61853,La Huacana,Michoacán,16 035 09 0021,22/09/2016,"E.,Ps.,V.,T.,S.,A.,H."
Cruz Blanca,Farmacia,Madero Norte No. 176,Centro,61850,La Huacana,Michoacán,16 035 09 0023,13/02/2017,Ps.
Farmacia La Salud,Farmacia,Juarez No. 100,Centro,61850,La Huacana,Michoacán,16 035 09 0024,21/07/2017,Ps.
Farmacia San Carlos,Farmacia,Portal Morelos No. 42,Centro,61850,La Huacana,Michoacán,16 035 09 0025,21/07/2017,Ps.
"Farmacias El Fenix del Centro Hospital 
Integral Comunitario de La Huacana",Farmacia,"Av. Revolución Sur carretera a cuatro caminos 
KM 1.5",s/colonia,61853,La Huacana,Michoacán,16 035 09 0026,01/02/2018,"E.,Ps.,V.,T.,S.,A.,H."
"F. MEDALFA Hospital Integral Caracuaro-
Nocupetaro",Farmacia,"Av. Revolución Sur Carretera a Cuatro 
Caminos KM 1.5 s/n",s/colonia,61853,La Huacana,Michoacán,16 035 09 0027,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
Farmamedic,Farmacia,Revolución y Comonfort s/n,Centro,61850,La Huacana,Michoacán,16 035 09 0028,04/03/2019,Ps.
F. Del Ahorro,Farmacia,Av. Lázaro Cárdenas Sur # 77,Centro,61760,Múgica,Michoacán,16 055 09 0047,16/02/2006,"Ps., V., T., S., H."
Alhelí,Farmacia,Av. Lázaro Cárdenas Norte # 847,Reforma,60760,Múgica,Michoacán,16 055 09 0001,09/11/2000,"Ps., V., T., S."
Villalobos,Farmacia,Articulo Tercero # 17,Centro,61760,Múgica,Michoacán,16 055 09 0002,24/01/2001,"V., T., S."
Farmacia Lourdes,Farmacia,Articulo 3° # 120,Centro,61760,Múgica,Michoacán,16 055 09 0003,23/11/2009,"E., Ps., V., T."
Farmacia Cisneros,Farmacia,Corregidora # 93,Independencia,61760,Múgica,Michoacán,16 055 09 0004,16/03/2006,"Ps., V., T., S., A."
"B. Hospital Integral Comunitario De Nueva 
Italia",Botica,Plan De Iguala # 550,Libertad,61760,Múgica,Michoacán,16 055 10 0005,09/09/2003,"E., Ps., V., T., S., A., H."
Botica Imss,Botica,Av. Lázaro Cárdenas/Corregidora,Centro,61760,Múgica,Michoacán,16 055 10 0006,06/05/2004,"E., Ps., V., T., S."
F. Nueva Farmacia Del Centro,Farmacia,Pascual Orozco/Fco. I. Madero S/N,Centro,61700,Múgica,Michoacán,16 055 09 0007,24/11/2004,"Ps., V., T., S., .A,. ,H."
Súper Farmacia Nueva Italia,Farmacia,Av. Lázaro Cárdenas Nte. # 879,Reforma,61700,Múgica,Michoacán,16 055 09 0008,24/11/2004,"Ps., V., T., S., A."
Distribuidora De Farmacias Gym,Farmacia,Pino Suarez y Plan De Gpe. # 176,Centro,61760,Múgica,Michoacán,16 055 09 0009,02/09/2005,"Ps., V., T., S., A."
Súper Farmacias Mexicanas,Farmacia,Articulo 3 # 96,Centro,61760,Múgica,Michoacán,16 055 09 0010,01/12/2005,"Ps., V., T., A., H."
Farmacia Paris,Farmacia,Av. Lázaro Cárdenas Sur # 70,Centro,61760,Múgica,Michoacán,16 055 09 0011,20/12/2005,"E., Ps., V., T., S., A, H."
Farmacia Ángel,Farmacia,Av. Lázaro Cárdenas Sur # 263,El Carriel,61760,Múgica,Michoacán,16 055 09 0013,21/04/2006,"Ps., V., T., S., A."
Farmacia San Rafael,Farmacia,Av. Teódulo Vargas # 57,Centro,61760,Múgica,Michoacán,16 055 09 0014,13/02/2017,Ps.
Farmacia Mi Bodega Nueva Italia,Farmacia,Av. Lázaro Cárdenas Sur # 195,El Carriel,61760,Múgica,Michoacán,16 055 09 0015,10/04/2007,"Ps., V., T., S., A., H."
Súper Farmacia Nueva Italia II,Farmacia,Corregidora # 193,Libertad,61760,Múgica,Michoacán,16 055 09 0016,10/04/2007,"Ps., V., T., S., A."
Farmacia Súper Ade,Farmacia,Articulo Tercero # 6,Centro,61760,Múgica,Michoacán,16 055 09 0017,22/08/2007,"Ps., V., T., S., A."
Farmacia Del Pueblo,Farmacia,Corregidora # 151 Local C Y D,Independencia,61760,Múgica,Michoacán,16 055 09 0018,28/09/2010,"E., Ps., V."
Farmacia La Botica,Farmacia,Corregidora # 151,Independencia,61760,Múgica,Michoacán,16 055 09 0019,26/05/2011,"E., Ps., V."
Farmacia San Nicolas,Farmacia,Corregidora #91,Independencia,61761,Múgica,Michoacán,16 055 09 0020,12/09/2012,"Ps., V., T., A."
Issste,Farmacia,Av. Lázaro Cárdenas nte. s/n,Libertad,61760,Múgica,Michoacán,16 055 09 0021,14/11/2012,"Ps., V., T., A."
"NADRO S.A. DE C.V. Hospital Int. 
Comunitario Nva. Italia",Botica,Plan de Iguala No. 260,Libertad,61761,Múgica,Michoacán,16 055 10 0022,22/02/2013,"E., Ps."
Farmacia Disur Hosp. Integ. Nva. Italia,Farmacia,Plan de Iguala No. 520,Reforma,61760,Múgica,Michoacán,16 055 09 0024,19/05/2015,"E., Ps., V., T., S., A, H."
Super Farmacia Nueva Italia Suc. Centro,Farmacia,Av. Lázaro Cárdenas Sur Sin Número,Agrarista,61760,Múgica,Michoacán,16 055 09 0025,02/07/2015,"Ps., V., T., S., A.,"
Farmacia Farmaodo,Farmacia,Av. Lázaro Cárdenas No. 42,Independencia,61760,Múgica,Michoacán,16 055 09 0026,19/01/2016,Ps.
Farmacias del Ahorro,Farmacia,Av. Lázaro Cárdenas No. 77 sur,Centro,61760,Múgica,Michoacán,16 055 09 0027,22/05/2018,"Ps.,V.,T.,S.,A.,H."
Farmacia Express,Farmacia,2 de Octubre No. 23,El Carriel,61760,Múgica,Michoacán,16 055 09 0031,31/01/2018,Ps.
"Farmacias El Fenix del Centro Hospital 
Integral de Nueva italia",Farmacia,Plan de Iguala No. 550,Reforma,61760,Múgica,Michoacán,16 055 09 0032,01/02/2018,"E.,Ps.,V.,T.,A.,S.,H."
f. medalfa Hospital Integral de Nueva Italia,Farmacia,Plan de Iguala No. 550,Reforma,61760,Múgica,Michoacán,16 055 09 0033,20/03/2018,"E.,Ps.,V.,T.,A.,S.,H."
F. Guadalajara S.A. de C.V.,Farmacia,Av. Lázaro Cárdenas No. 136,Centro,61760,Múgica,Michoacán,16 055 09 0034,04/05/2019,"Ps.,V.,T.,A.,S.,H."
F. Paracuaro,Farmacia,Juan Gabriel # 86,Centro,60760,Parácuaro,Michoacán,16 064 09 0001,06/05/2004,"Ps., V., T."
Súper Farmacia Ruby,Farmacia,Portal Hidalgo # 16,Centro,60760,Parácuaro,Michoacán,16 064 09 0002,21/06/2004,"Ps., V., T., S."
F. De Jesús,Farmacia,Av. Lázaro Cárdenas S/N,Centro,60760,Parácuaro,Michoacán,16 064 09 0003,10/11/2004,"Ps., V., T., S., A."
F. Antúnez,Farmacia,Montes De Oca # 60,Centro,60781,Parácuaro,Michoacán,16 064 09 0004,09/02/2005,"Ps., V., T., S., A."
Guadalupana,Farmacia,Av. Lázaro Cárdenas S/N,Centro,60781,Parácuaro,Michoacán,16 064 09 0005,18/02/2009,"E., Ps., V., T."
F. Valledupar,Farmacia,Lázaro Cárdenas s/n,Centro,60781,Parácuaro,Michoacán,16 064 09 0006,13/05/2013,"E., Ps."
